;;с 01,06,2019;
;RU PUR DENTALIFE Single;;
;12366294;DENTALIFE SMALL Single 16x16.4g RU;38,2536
;12366293;DENTALIFE MEDIUM Single 14x23g RU;38,2536
;12366292;DENTALIFE LARGE Single 12x35.5g RU;38,2536
;RU PUR DENTALIFE Standard;;0
;12365699;DENTALIFE SMALL 5x115g RU;139,3524
;12365750;DENTALIFE MEDIUM 5x115g RU;139,3524
;12365753;DENTALIFE LARGE 5x142g RU;139,3524
;PRO PLAN;;0
;RU PUR Dog Snacks;;0
;12353783;PROPLAN DENTAL PRO BAR д мелкпор 6x150г;232,254
12381634;12123763;PRPN DENTAL PROBAR Д/СД/ЗдорПолРта6x150г;218,70585
;RU PUR ProPlan Dog Biscuit 400g;;0
;12333256;PRO PLAN LIGHT Dog Biscuit BiEx4x400g RU;301,2471
;12333257;PROPLAN ADL DogBsct BiEx Smn&Ri 4x400gRU;301,2471
;12333276;PRO PLAN ADL DogBsctBiEx Lmb&Ri 4x400gRU;301,2471
;CAT CHOW;;0
;RU PUR Cat Chow 1.5kg - 2kg ;;0
;12123730;CAT CHOW проф/ком/шерсти Д.Птица 8х1.5кг;499,3461
;12309221;CAT CHOW Д/ВзрКош Утка 8x1.5kg N1 RU;399,47688
;12309194;CAT CHOW Д/ВзрКош Птица 8x1.5kg N1 RU;399,47688
;12309195;CAT CHOW для котят Птица 8x1.5kg N1 RU;439,43823
;12123733;CAT CHOW  SENSITIVE Д/КошСЧувПищ 8x1.5кг;499,3461
;12212308;CAT CHOW FELINE 3IN1 PoulTrky 8x1.5kg RU;499,3461
;12123730;CAT CHOW HRBLCTRL сух д/к 8x1.5кг N1 RU;499,3461
;12123732;CAT CHOW STERILISED Poultry 8x1.5kg N1RU;499,3461
;12123731;CAT CHOW UTH ЗдорМочП вз/кош 8x1.5kgN1RU;499,3461
;RU PUR Cat Chow 15kg;;0
;12147110;C CHOW HRBLCTRL КонтрКомк вз/к 15kg N1RU;4452,49134
;12212334;CAT CHOW FELINE 3IN1 д/кошек 15 кг RU;4452,49134
;12118695;CAT CHOW KITTEN Д/Котят 15кг N1;3944,208015
